Sr No.,Acknowledgement No,Bank A/C Number,IFSC Code,Address,Amount,Disputed Amount,Bank Name
619,ACK2025000619,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",8504,7500,IndusInd Bank
620,ACK2025000620,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",52665,43577,ICICI Bank
621,ACK2025000621,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",54093,51507,Bank of Baroda
622,ACK2025000622,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",51426,37977,Bank of Baroda
623,ACK2025000623,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",17319,15960,Yes Bank
624,ACK2025000624,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",42608,30396,Yes Bank
625,ACK2025000625,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",46474,45543,State Bank of India
626,ACK2025000626,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",44308,38534,Punjab National Bank
627,ACK2025000627,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",21000,14879,IndusInd Bank
628,ACK2025000628,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",25147,22164,Bank of Baroda
629,ACK2025000629,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",28945,26199,Bank of Baroda
630,ACK2025000630,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",31712,24585,Bank of Baroda
631,ACK2025000631,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",48396,34090,Bank of Baroda
632,ACK2025000632,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",20005,16060,IndusInd Bank
633,ACK2025000633,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",41073,39882,Bank of Baroda
634,ACK2025000634,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",10074,9509,Bank of Baroda
635,ACK2025000635,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",44072,34356,ICICI Bank
636,ACK2025000636,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",28498,27363,ICICI Bank
637,ACK2025000637,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",24713,20762,Bank of Baroda
638,ACK2025000638,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",11863,11738,Punjab National Bank
639,ACK2025000639,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",54697,53887,ICICI Bank
640,ACK2025000640,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",47872,40169,Bank of Baroda
641,ACK2025000641,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",47243,41129,Punjab National Bank
642,ACK2025000642,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",42894,37264,IndusInd Bank
643,ACK2025000643,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",17191,15578,Punjab National Bank
644,ACK2025000644,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",31849,31323,Bank of Baroda
645,ACK2025000645,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19716,16657,Bank of Baroda
646,ACK2025000646,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",5727,4363,HDFC Bank
647,ACK2025000647,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",10670,7580,Bank of Baroda
648,ACK2025000648,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",47969,37587,IndusInd Bank
649,ACK2025000649,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22012,18273,ICICI Bank
650,ACK2025000650,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",30129,28036,Bank of Baroda
651,ACK2025000651,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",50155,39642,Yes Bank
652,ACK2025000652,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",39266,29093,Bank of Baroda
653,ACK2025000653,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",6015,4360,Punjab National Bank
654,ACK2025000654,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",49214,40998,Bank of Baroda
655,ACK2025000655,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",35459,30625,Punjab National Bank
656,ACK2025000656,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",19997,14741,ICICI Bank
657,ACK2025000657,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",33782,27683,State Bank of India
658,ACK2025000658,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",18974,17746,Yes Bank
659,ACK2025000659,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",40191,37519,Bank of Baroda
660,ACK2025000660,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",32175,23759,Bank of Baroda
661,ACK2025000661,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",28874,21013,Punjab National Bank
662,ACK2025000662,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",47187,45346,State Bank of India
663,ACK2025000663,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",44150,41571,HDFC Bank
664,ACK2025000664,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",46731,38482,HDFC Bank
665,ACK2025000665,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",54364,53963,Bank of Baroda
666,ACK2025000666,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",25713,21408,State Bank of India
667,ACK2025000667,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",32286,29948,Bank of Baroda
668,ACK2025000668,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",52125,50478,State Bank of India
669,ACK2025000669,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",11530,10199,ICICI Bank
670,ACK2025000670,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",14194,13426,HDFC Bank
671,ACK2025000671,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",13924,11333,Bank of Baroda
672,ACK2025000672,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",51238,51132,ICICI Bank
673,ACK2025000673,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",39139,30777,IndusInd Bank
674,ACK2025000674,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",21276,20225,IndusInd Bank
675,ACK2025000675,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",47064,39270,Bank of Baroda
676,ACK2025000676,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",19431,13937,ICICI Bank
677,ACK2025000677,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",7445,7306,HDFC Bank
678,ACK2025000678,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",27580,21520,IndusInd Bank
679,ACK2025000679,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",46813,44458,IndusInd Bank
680,ACK2025000680,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",12772,9868,Bank of Baroda
681,ACK2025000681,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",45448,34030,Bank of Baroda
682,ACK2025000682,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",33279,31025,State Bank of India
683,ACK2025000683,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",50450,45821,ICICI Bank
684,ACK2025000684,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",8162,7524,Bank of Baroda
685,ACK2025000685,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",45603,34399,Yes Bank
686,ACK2025000686,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",11894,9930,State Bank of India
687,ACK2025000687,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",34316,26736,IndusInd Bank
688,ACK2025000688,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",6762,5259,Bank of Baroda
689,ACK2025000689,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",52760,52233,Punjab National Bank
690,ACK2025000690,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",47278,42585,ICICI Bank
691,ACK2025000691,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",46879,42099,HDFC Bank
692,ACK2025000692,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",40896,36304,HDFC Bank
693,ACK2025000693,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",15042,13052,HDFC Bank
694,ACK2025000694,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",6114,6007,Punjab National Bank
695,ACK2025000695,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",31222,22168,ICICI Bank
696,ACK2025000696,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",28413,24547,Yes Bank
697,ACK2025000697,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",17937,15194,IndusInd Bank
698,ACK2025000698,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",12629,11462,IndusInd Bank
699,ACK2025000699,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",43985,38364,IndusInd Bank
700,ACK2025000700,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",26524,23996,HDFC Bank
701,ACK2025000701,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",46265,40447,IndusInd Bank
702,ACK2025000702,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",38738,35527,State Bank of India
703,ACK2025000703,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",7824,7442,ICICI Bank
704,ACK2025000704,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",44164,31000,Bank of Baroda
705,ACK2025000705,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",17714,15123,IndusInd Bank
706,ACK2025000706,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",51573,50148,ICICI Bank
707,ACK2025000707,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",18290,16125,ICICI Bank
708,ACK2025000708,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",20291,19468,State Bank of India
709,ACK2025000709,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",52794,48123,IndusInd Bank
710,ACK2025000710,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",12559,8884,IndusInd Bank
711,ACK2025000711,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",12300,10469,IndusInd Bank
712,ACK2025000712,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",37684,30920,Bank of Baroda
713,ACK2025000713,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16167,13988,ICICI Bank
714,ACK2025000714,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35699,27578,ICICI Bank
715,ACK2025000715,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",46174,44068,ICICI Bank
716,ACK2025000716,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",18797,13245,Yes Bank
717,ACK2025000717,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",46216,44106,Bank of Baroda
718,ACK2025000718,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",31259,27504,ICICI Bank
719,ACK2025000719,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",28182,23927,HDFC Bank
720,ACK2025000720,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",39399,35552,State Bank of India
721,ACK2025000721,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",12536,9642,Yes Bank
722,ACK2025000722,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",33531,30546,Bank of Baroda
723,ACK2025000723,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",34261,33277,Bank of Baroda
724,ACK2025000724,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",48013,38262,Punjab National Bank
725,ACK2025000725,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",34592,34492,Bank of Baroda
726,ACK2025000726,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",43153,42727,Bank of Baroda
727,ACK2025000727,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",37536,28762,ICICI Bank
728,ACK2025000728,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",43773,33750,Punjab National Bank
729,ACK2025000729,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",15716,15107,Yes Bank
730,ACK2025000730,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",35320,28119,Punjab National Bank
731,ACK2025000731,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",27299,27092,ICICI Bank
732,ACK2025000732,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",32610,27356,ICICI Bank
733,ACK2025000733,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",19516,16824,Yes Bank
734,ACK2025000734,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",12215,11176,Bank of Baroda
735,ACK2025000735,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",48914,35972,Yes Bank
736,ACK2025000736,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",38819,34905,State Bank of India
737,ACK2025000737,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",10260,7280,Bank of Baroda
738,ACK2025000738,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",42319,33828,ICICI Bank
739,ACK2025000739,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",5733,4075,State Bank of India
740,ACK2025000740,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",27541,20483,Bank of Baroda
741,ACK2025000741,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",7287,6936,Bank of Baroda
742,ACK2025000742,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",10910,9822,State Bank of India
743,ACK2025000743,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",31588,22658,Bank of Baroda
744,ACK2025000744,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",11103,8130,ICICI Bank
745,ACK2025000745,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",17500,15250,Bank of Baroda
746,ACK2025000746,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",28410,27010,Bank of Baroda
747,ACK2025000747,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",36102,35476,Punjab National Bank
748,ACK2025000748,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19745,17598,HDFC Bank
749,ACK2025000749,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16323,13095,ICICI Bank
750,ACK2025000750,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",20022,15901,IndusInd Bank
751,ACK2025000751,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",34046,27665,IndusInd Bank
752,ACK2025000752,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",54371,47201,IndusInd Bank
753,ACK2025000753,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",54572,51711,State Bank of India
754,ACK2025000754,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",11306,8425,Punjab National Bank
755,ACK2025000755,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",6344,6338,ICICI Bank
756,ACK2025000756,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",38020,36846,Bank of Baroda
757,ACK2025000757,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",36810,28965,ICICI Bank
758,ACK2025000758,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",52510,42466,IndusInd Bank
759,ACK2025000759,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",16779,14744,Yes Bank
760,ACK2025000760,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",24516,17737,IndusInd Bank
761,ACK2025000761,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",27095,21131,Punjab National Bank
762,ACK2025000762,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19816,14466,HDFC Bank
763,ACK2025000763,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",39382,32456,Bank of Baroda
764,ACK2025000764,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",7528,6027,Yes Bank
765,ACK2025000765,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",21499,15895,HDFC Bank
766,ACK2025000766,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",17794,13256,IndusInd Bank
767,ACK2025000767,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",34277,33090,IndusInd Bank
768,ACK2025000768,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",11811,10956,HDFC Bank
769,ACK2025000769,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",38190,27246,Bank of Baroda
770,ACK2025000770,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",35237,33346,Yes Bank
771,ACK2025000771,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",14860,13232,ICICI Bank
772,ACK2025000772,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",10869,8777,ICICI Bank
773,ACK2025000773,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",6939,6019,Punjab National Bank
774,ACK2025000774,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",39240,33915,State Bank of India
775,ACK2025000775,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",39088,33402,HDFC Bank
776,ACK2025000776,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",16142,11829,Bank of Baroda
777,ACK2025000777,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",30422,29098,Punjab National Bank
778,ACK2025000778,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",14402,13360,IndusInd Bank
779,ACK2025000779,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16409,14929,ICICI Bank
780,ACK2025000780,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",9069,7449,Punjab National Bank
781,ACK2025000781,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35985,26348,ICICI Bank
782,ACK2025000782,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",39831,31580,IndusInd Bank
783,ACK2025000783,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",39810,32064,HDFC Bank
784,ACK2025000784,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",50288,40042,IndusInd Bank
785,ACK2025000785,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",37813,32411,ICICI Bank
786,ACK2025000786,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",42712,30436,Bank of Baroda
787,ACK2025000787,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",12537,10725,Bank of Baroda
788,ACK2025000788,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",40782,29824,ICICI Bank
789,ACK2025000789,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",51001,41503,Bank of Baroda
790,ACK2025000790,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",6277,4535,Bank of Baroda
791,ACK2025000791,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",47170,44488,Bank of Baroda
792,ACK2025000792,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",39462,35012,State Bank of India
793,ACK2025000793,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",14449,12313,ICICI Bank
794,ACK2025000794,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",28179,25528,Bank of Baroda
795,ACK2025000795,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",22509,17872,HDFC Bank
796,ACK2025000796,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16749,14688,ICICI Bank
797,ACK2025000797,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",44106,39976,Punjab National Bank
798,ACK2025000798,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",6183,6104,Punjab National Bank
799,ACK2025000799,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",26996,21846,ICICI Bank
800,ACK2025000800,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",41148,33340,HDFC Bank
801,ACK2025000801,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",9968,9300,Bank of Baroda
802,ACK2025000802,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",51486,39321,Bank of Baroda
803,ACK2025000803,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",6909,6241,Bank of Baroda
804,ACK2025000804,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",31626,23509,IndusInd Bank
805,ACK2025000805,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",6057,5898,IndusInd Bank
806,ACK2025000806,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",7228,5290,Yes Bank
807,ACK2025000807,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",36166,31177,Bank of Baroda
808,ACK2025000808,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",8703,7172,Yes Bank
809,ACK2025000809,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",30821,30638,Bank of Baroda
810,ACK2025000810,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",9073,6941,ICICI Bank
811,ACK2025000811,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",14801,11733,IndusInd Bank
812,ACK2025000812,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",20321,15219,ICICI Bank
813,ACK2025000813,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",50263,36274,Bank of Baroda
814,ACK2025000814,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",50225,38901,Bank of Baroda
815,ACK2025000815,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",33755,31491,Bank of Baroda
816,ACK2025000816,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",47280,44365,Bank of Baroda
817,ACK2025000817,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",20988,20977,Punjab National Bank
818,ACK2025000818,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",49329,40438,Yes Bank
819,ACK2025000819,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",17952,16263,IndusInd Bank
820,ACK2025000820,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",37724,31978,ICICI Bank
821,ACK2025000821,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",24721,17660,ICICI Bank
822,ACK2025000822,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",34489,24725,ICICI Bank
823,ACK2025000823,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",14348,13917,HDFC Bank
824,ACK2025000824,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",30419,30137,IndusInd Bank
